device_id,date,pm1,pm2_5,pm10
0CDC7E3CAC70,2022-12-15T12:00:00,11.1471,12.9643,19.7135
0CDC7E3CAC70,2022-12-15T11:00:00,7.4019,9.7811,16.5477
0CDC7E3CAC70,2022-12-15T10:00:00,4.6884,8.1003,15.1649
0CDC7E3CAC70,2022-12-15T09:00:00,3.432,5.575,11.3057
0CDC7E3CAC70,2022-12-15T08:00:00,2.3039,5.3106,11.4009
0CDC7E3CAC70,2022-12-15T07:00:00,-2.6193,0.592,5.2455
0CDC7E3CAC70,2022-12-15T06:00:00,-2.7165,0.5196,5.037
0CDC7E3CAC70,2022-12-15T05:00:00,-2.8213,0.475,4.9051
0CDC7E3CAC70,2022-12-15T04:00:00,-1.5553,1.4977,6.2787
0CDC7E3CAC70,2022-12-15T03:00:00,0.7012,3.0979,8.6005
0CDC7E3CAC70,2022-12-15T02:00:00,1.114,3.4769,8.9683
0CDC7E3CAC70,2022-12-15T01:00:00,5.0826,7.2296,13.2504
0CDC7E3CAC70,2022-12-15T00:00:00,5.8287,8.911,15.7873
349454002C54
3494540052A0,2022-12-15T16:00:00,36.725,42.4913,60.5807
3494540052A0,2022-12-15T15:00:00,115.4765,132.8767,171.0578
3494540052A0,2022-12-15T13:00:00,52.2769,58.9886,78.4837
3494540052A0,2022-12-15T12:00:00,49.6129,56.5513,76.0801
3494540052A0,2022-12-15T11:00:00,31.4009,36.4321,54.3566
3494540052A0,2022-12-15T10:00:00,40.7561,45.3076,65.7395
3494540029D8,2022-12-15T22:00:00,64.129,80.2309,111.5023
3494540029D8,2022-12-15T21:00:00,51.0637,64.1856,93.0924
3494540029D8,2022-12-15T20:00:00,36.3012,43.3902,64.9948
3494540029D8,2022-12-15T19:00:00,42.4995,50.7347,74.8282
3494540029D8,2022-12-15T18:00:00,37.1653,44.1365,66.3826
3494540029D8,2022-12-15T17:00:00,42.1394,49.8709,74.2042
3494540029D8,2022-12-15T16:00:00,42.3004,48.7939,71.6227
3494540029D8,2022-12-15T15:00:00,42.2829,49.9876,74.8472
3494540029D8,2022-12-15T14:00:00,46.8047,56.6321,82.6952
3494540029D8,2022-12-15T13:00:00,48.2917,57.8257,83.8184
3494540029D8,2022-12-15T12:00:00,39.4875,46.76,70.7836
3494540029D8,2022-12-15T11:00:00,45.0841,54.338,80.0907
3494540029D8,2022-12-15T10:00:00,37.6694,44.8246,67.8237
3494540029D8,2022-12-15T09:00:00,41.0041,48.0496,71.9557
3494540029D8,2022-12-15T08:00:00,42.015,49.8223,74.1445
3494540029D8,2022-12-15T07:00:00,42.6712,50.1438,74.3562
3494540029D8,2022-12-15T06:00:00,49.8701,61.8074,86.9422
3494540029D8,2022-12-15T05:00:00,47.6674,57.174,83.4528
3494540029D8,2022-12-15T04:00:00,47.6222,57.0836,83.9182
3494540029D8,2022-12-15T03:00:00,49.0673,58.0941,85.77
3494540029D8,2022-12-15T02:00:00,60.3899,73.9422,101.1081
3494540029D8,2022-12-15T01:00:00,31.5148,37.3453,55.9349
3494540029D8,2022-12-15T00:00:00,46.834,54.5891,79.2221
A848FA94359C,2022-12-15T23:00:00,126.5852,140.1837,198.2351
A848FA94359C,2022-12-15T22:00:00,151.5665,170.8211,242.8944
A848FA94359C,2022-12-15T21:00:00,113.1413,128.0922,183.2365
A848FA94359C,2022-12-15T20:00:00,89.5166,100.5902,141.0148
A848FA94359C,2022-12-15T19:00:00,84.524,95.7057,134.0245
A848FA94359C,2022-12-15T18:00:00,81.4303,92.5507,131.1579
A848FA94359C,2022-12-15T17:00:00,66.22,75.5448,105.9992
A848FA94359C,2022-12-15T16:00:00,56.2966,65.538,91.6667
A848FA94359C,2022-12-15T15:00:00,51.4281,60.5446,85.186
A848FA94359C,2022-12-15T14:00:00,47.3561,56.5355,79.9001
A848FA94359C,2022-12-15T11:00:00,43.3494,51.7207,76.0983
A848FA94359C,2022-12-15T10:00:00,47.7041,56.5819,81.575
A848FA94359C,2022-12-15T09:00:00,47.1327,57.3254,83.6906
A848FA94359C,2022-12-15T08:00:00,41.3258,48.4489,72.875
A848FA94359C,2022-12-15T07:00:00,34.9654,40.0677,60.935
A848FA94359C,2022-12-15T06:00:00,31.3549,36.1813,53.9599
A848FA94359C,2022-12-15T05:00:00,31.4964,35.7589,53.2939
A848FA94359C,2022-12-15T04:00:00,31.5254,35.6639,52.1667
A848FA94359C,2022-12-15T02:00:00,56.803,63.8663,85.771
A848FA94359C,2022-12-15T00:00:00,84.8653,94.7545,126.0
A848FA92A434
349454004000,2022-12-15T16:00:00,28.33,31.718,46.4141
349454004000,2022-12-15T14:00:00,39.514,44.8081,61.3744
349454004000,2022-12-15T13:00:00,25.6225,28.7068,40.23
349454004000,2022-12-15T12:00:00,61.7895,67.3025,82.4013
349454004000,2022-12-15T08:00:00,30.3984,34.2193,50.7439
0CDC7E3DA61C,2022-12-15T23:00:00,62.8966,70.9128,90.6439
0CDC7E3DA61C,2022-12-15T22:00:00,67.587,75.3823,95.1102
0CDC7E3DA61C,2022-12-15T21:00:00,89.0651,98.2255,122.0179
0CDC7E3DA61C,2022-12-15T20:00:00,96.0714,105.2462,129.7831
0CDC7E3DA61C,2022-12-15T19:00:00,86.7344,96.4205,120.8938
0CDC7E3DA61C,2022-12-15T18:00:00,89.5059,100.2313,125.706
0CDC7E3DA61C,2022-12-15T17:00:00,80.6056,89.6831,112.604
0CDC7E3DA61C,2022-12-15T16:00:00,64.662,71.6262,92.736
0CDC7E3DA61C,2022-12-15T15:00:00,166.7601,196.7104,247.8904
0CDC7E3DA61C,2022-12-15T14:00:00,93.3178,103.332,128.5894
0CDC7E3DA61C,2022-12-15T13:00:00,43.5889,49.3408,70.2678
0CDC7E3DA61C,2022-12-15T12:00:00,38.594,44.0417,65.2442
0CDC7E3DA61C,2022-12-15T11:00:00,46.8705,53.6256,73.0266
0CDC7E3DA61C,2022-12-15T10:00:00,32.2912,36.6134,54.0718
0CDC7E3DA61C,2022-12-15T09:00:00,30.4301,34.4749,50.8735
0CDC7E3DA61C,2022-12-15T08:00:00,31.8899,36.1327,52.9988
0CDC7E3DA61C,2022-12-15T07:00:00,42.0619,47.4313,67.6835
0CDC7E3DA61C,2022-12-15T06:00:00,55.8446,64.6212,84.365
0CDC7E3DA61C,2022-12-15T05:00:00,52.3853,60.2297,80.3414
0CDC7E3DA61C,2022-12-15T04:00:00,60.7422,69.4562,88.9903
0CDC7E3DA61C,2022-12-15T03:00:00,55.1305,62.4834,82.1045
0CDC7E3DA61C,2022-12-15T02:00:00,68.0865,76.4081,96.3631
0CDC7E3DA61C,2022-12-15T01:00:00,70.5018,78.7606,99.3171
0CDC7E3DA61C,2022-12-15T00:00:00,66.6088,77.3946,99.5308
0CDC7E3EDAC0,2022-12-15T23:00:00,80.1854,91.5562,113.3885
0CDC7E3EDAC0,2022-12-15T22:00:00,70.7984,80.8856,101.2742
0CDC7E3EDAC0,2022-12-15T21:00:00,73.3509,85.0251,107.0668
0CDC7E3EDAC0,2022-12-15T20:00:00,84.7704,98.2073,122.8574
0CDC7E3EDAC0,2022-12-15T19:00:00,73.3514,85.3304,107.7945
0CDC7E3EDAC0,2022-12-15T18:00:00,51.8032,63.6122,83.136
0CDC7E3EDAC0,2022-12-15T17:00:00,50.6568,61.5477,80.6643
0CDC7E3EDAC0,2022-12-15T16:00:00,36.9213,44.9541,63.9299
0CDC7E3EDAC0,2022-12-15T15:00:00,35.7334,43.0826,62.3624
0CDC7E3EDAC0,2022-12-15T14:00:00,35.4756,42.667,61.5
0CDC7E3EDAC0,2022-12-15T13:00:00,35.9118,42.8117,61.5988
0CDC7E3EDAC0,2022-12-15T12:00:00,34.0608,39.9744,58.7424
0CDC7E3EDAC0,2022-12-15T11:00:00,30.1205,35.1911,51.97
0CDC7E3EDAC0,2022-12-15T10:00:00,26.8199,31.5079,46.2074
0CDC7E3EDAC0,2022-12-15T09:00:00,24.8066,29.587,43.4281
0CDC7E3EDAC0,2022-12-15T08:00:00,28.8701,33.2242,49.0393
0CDC7E3EDAC0,2022-12-15T07:00:00,28.7911,33.3454,48.8575
0CDC7E3EDAC0,2022-12-15T06:00:00,24.1177,28.1333,40.9485
0CDC7E3EDAC0,2022-12-15T05:00:00,24.3164,28.0317,40.7321
0CDC7E3EDAC0,2022-12-15T04:00:00,20.9114,24.1767,34.2567
0CDC7E3EDAC0,2022-12-15T03:00:00,19.8931,22.6915,31.6149
0CDC7E3EDAC0,2022-12-15T02:00:00,22.6964,27.4334,39.9843
0CDC7E3EDAC0,2022-12-15T01:00:00,23.8636,28.876,42.7353
0CDC7E3EDAC0,2022-12-15T00:00:00,26.6206,31.5011,46.2907
A848FA930B44,2022-12-15T23:00:00,205.3871,154.4996,194.943
A848FA930B44,2022-12-15T22:00:00,238.4533,196.6103,248.581
A848FA930B44,2022-12-15T21:00:00,216.914,170.3885,216.1275
A848FA930B44,2022-12-15T20:00:00,188.3906,135.0107,171.5122
A848FA930B44,2022-12-15T19:00:00,167.0395,109.8408,139.7005
A848FA930B44,2022-12-15T18:00:00,176.6804,120.6312,152.8266
A848FA930B44,2022-12-15T17:00:00,164.3989,105.9574,134.5318
A848FA930B44,2022-12-15T16:00:00,139.8903,78.0123,100.6497
A848FA930B44,2022-12-15T15:00:00,149.0713,88.413,113.55
A848FA930B44,2022-12-15T14:00:00,120.3301,55.6165,74.2079
A848FA930B44,2022-12-15T13:00:00,118.2652,54.1851,73.2902
A848FA930B44,2022-12-15T12:00:00,117.9445,53.9021,73.0975
A848FA930B44,2022-12-15T11:00:00,116.8786,52.2807,71.8453
A848FA930B44,2022-12-15T10:00:00,127.002,63.3268,83.4178
A848FA930B44,2022-12-15T09:00:00,116.9005,51.3828,71.0414
A848FA930B44,2022-12-15T08:00:00,124.1979,60.5923,80.4642
A848FA930B44,2022-12-15T07:00:00,111.8294,43.0752,62.8455
A848FA930B44,2022-12-15T06:00:00,107.5355,37.5734,55.2808
A848FA930B44,2022-12-15T05:00:00,102.4543,32.907,48.4311
A848FA930B44,2022-12-15T04:00:00,105.8488,35.8941,52.4361
A848FA930B44,2022-12-15T03:00:00,103.1521,33.0421,48.3198
A848FA930B44,2022-12-15T02:00:00,119.6071,52.3062,70.8449
A848FA930B44,2022-12-15T01:00:00,119.2512,49.5319,68.8748
A848FA930B44,2022-12-15T00:00:00,114.6929,44.4176,63.1004
0CDC7E3EFA3C,2022-12-15T23:00:00,51.8984,60.1306,78.8004
0CDC7E3EFA3C,2022-12-15T22:00:00,60.8701,70.394,89.9645
0CDC7E3EFA3C,2022-12-15T21:00:00,41.277,48.1368,69.3407
0CDC7E3EFA3C,2022-12-15T20:00:00,38.7001,44.7005,65.2076
0CDC7E3EFA3C,2022-12-15T19:00:00,41.5424,48.3475,69.3823
0CDC7E3EFA3C,2022-12-15T18:00:00,40.4775,47.0795,67.4919
0CDC7E3EFA3C,2022-12-15T17:00:00,38.9413,45.2068,65.8329
0CDC7E3EFA3C,2022-12-15T16:00:00,41.4254,48.2787,69.8149
0CDC7E3EFA3C,2022-12-15T15:00:00,47.3756,58.3113,78.2551
0CDC7E3EFA3C,2022-12-15T14:00:00,41.78,50.0029,69.4913
0CDC7E3EFA3C,2022-12-15T13:00:00,55.4292,68.0747,88.138
0CDC7E3EFA3C,2022-12-15T12:00:00,38.1411,44.1919,63.7056
0CDC7E3EFA3C,2022-12-15T11:00:00,34.9067,41.2262,58.9924
0CDC7E3EFA3C,2022-12-15T10:00:00,40.6101,46.539,65.2176
0CDC7E3EFA3C,2022-12-15T09:00:00,30.2852,35.2812,50.4772
0CDC7E3EFA3C,2022-12-15T08:00:00,29.7923,34.9747,49.8586
0CDC7E3EFA3C,2022-12-15T07:00:00,62.0628,75.1237,97.4917
0CDC7E3EFA3C,2022-12-15T06:00:00,29.859,34.9207,49.9241
0CDC7E3EFA3C,2022-12-15T05:00:00,24.0182,28.4726,39.9693
0CDC7E3EFA3C,2022-12-15T04:00:00,22.5646,25.7826,35.8223
0CDC7E3EFA3C,2022-12-15T03:00:00,23.5313,27.322,37.3507
0CDC7E3EFA3C,2022-12-15T02:00:00,18.1991,21.6784,30.0242
0CDC7E3EFA3C,2022-12-15T01:00:00,21.4538,24.0276,33.3109
0CDC7E3EFA3C,2022-12-15T00:00:00,24.9866,27.7644,38.387
0CDC7E3DED24,2022-12-15T23:00:00,109.9273,129.0425,165.3083
0CDC7E3DED24,2022-12-15T22:00:00,108.7793,128.9628,167.6733
0CDC7E3DED24,2022-12-15T21:00:00,114.1662,136.0171,175.7339
0CDC7E3DED24,2022-12-15T20:00:00,98.7907,120.0355,155.6346
0CDC7E3DED24,2022-12-15T19:00:00,111.0805,150.7121,203.0833
0CDC7E3DED24,2022-12-15T18:00:00,82.9144,102.8992,133.8224
0CDC7E3DED24,2022-12-15T17:00:00,68.316,84.3367,111.6384
0CDC7E3DED24,2022-12-15T16:00:00,55.9136,69.1056,91.7622
0CDC7E3DED24,2022-12-15T15:00:00,68.4169,85.3636,112.1231
0CDC7E3DED24,2022-12-15T14:00:00,79.5572,103.6216,136.8992
0CDC7E3DED24,2022-12-15T13:00:00,48.4151,59.3011,78.6331
0CDC7E3DED24,2022-12-15T12:00:00,45.8843,57.0863,76.7305
0CDC7E3DED24,2022-12-15T11:00:00,48.5373,59.2635,78.3832
0CDC7E3DED24,2022-12-15T10:00:00,90.4186,117.5061,154.297
0CDC7E3DED24,2022-12-15T09:00:00,46.5265,59.0788,80.9494
0CDC7E3DED24,2022-12-15T08:00:00,60.3806,75.5091,99.8918
0CDC7E3DED24,2022-12-15T07:00:00,47.526,60.2139,82.146
0CDC7E3DED24,2022-12-15T06:00:00,33.3085,39.6554,59.1939
0CDC7E3DED24,2022-12-15T05:00:00,37.0205,44.2796,63.7115
0CDC7E3DED24,2022-12-15T04:00:00,23.7458,27.841,41.5452
0CDC7E3DED24,2022-12-15T03:00:00,29.3268,34.1727,50.9752
0CDC7E3DED24,2022-12-15T02:00:00,33.5649,38.5278,55.7768
0CDC7E3DED24,2022-12-15T01:00:00,64.0877,72.6168,91.7498
0CDC7E3DED24,2022-12-15T00:00:00,95.4389,111.2605,140.7854
349454004704,2022-12-15T23:00:00,67.0567,71.2231,87.1748
349454004704,2022-12-15T22:00:00,77.8369,82.5348,101.1435
349454004704,2022-12-15T21:00:00,79.4589,84.5289,102.5449
349454004704,2022-12-15T20:00:00,93.0673,98.4587,119.6342
349454004704,2022-12-15T19:00:00,81.3305,86.2001,104.2793
349454004704,2022-12-15T18:00:00,87.5071,94.7543,115.745
349454004704,2022-12-15T17:00:00,63.8406,69.9274,86.8722
349454004704,2022-12-15T16:00:00,71.9279,77.4651,95.3897
349454004704,2022-12-15T15:00:00,162.9659,180.0317,217.2753
349454004704,2022-12-15T14:00:00,104.6049,114.1721,137.9433
349454004704,2022-12-15T13:00:00,52.8231,58.4714,75.8521
349454004704,2022-12-15T12:00:00,51.5301,56.9392,73.758
349454004704,2022-12-15T11:00:00,87.701,106.3653,134.7747
349454004704,2022-12-15T10:00:00,45.1938,49.4328,67.6083
349454004704,2022-12-15T09:00:00,64.1199,72.4145,92.7576
349454004704,2022-12-15T08:00:00,67.425,75.7287,96.3439
349454004704,2022-12-15T07:00:00,64.7258,72.3292,93.4116
349454004704,2022-12-15T06:00:00,66.0599,72.7287,90.6586
349454004704,2022-12-15T05:00:00,54.2197,60.7207,76.8819
349454004704,2022-12-15T04:00:00,65.0938,70.8574,85.8657
349454004704,2022-12-15T03:00:00,81.2661,86.7486,104.8437
349454004704,2022-12-15T02:00:00,78.0908,82.9861,99.6054
349454004704,2022-12-15T01:00:00,81.2856,87.6464,105.7195
349454004704,2022-12-15T00:00:00,61.241,65.1537,79.385
349454004210,2022-12-15T23:00:00,30.6941,34.9435,48.1733
349454004210,2022-12-15T22:00:00,204.0061,238.2996,301.9556
349454004210,2022-12-15T21:00:00,246.9184,292.9318,373.4646
349454004210,2022-12-15T20:00:00,201.355,232.1637,293.8775
349454004210,2022-12-15T19:00:00,185.6321,214.5116,275.632
349454004210,2022-12-15T18:00:00,222.2714,260.6857,332.5723
349454004210,2022-12-15T17:00:00,163.5645,186.3513,234.3594
349454004210,2022-12-15T16:00:00,72.535,80.465,101.5532
349454004210,2022-12-15T15:00:00,128.1491,146.3669,185.4455
349454004210,2022-12-15T14:00:00,77.8057,85.6411,107.3818
349454004210,2022-12-15T13:00:00,51.061,56.5134,75.0124
349454004210,2022-12-15T12:00:00,33.9699,37.3611,53.379
349454004210,2022-12-15T11:00:00,30.1158,33.3597,48.4211
349454004210,2022-12-15T10:00:00,24.4859,26.9862,38.2539
349454004210,2022-12-15T09:00:00,24.7744,27.1767,38.2107
349454004210,2022-12-15T08:00:00,22.4052,25.2862,36.8098
349454004210,2022-12-15T07:00:00,45.6762,51.3887,75.0899
349454004210,2022-12-15T06:00:00,41.8082,46.6576,69.3701
349454004210,2022-12-15T05:00:00,28.38,31.9263,47.4026
349454004210,2022-12-15T04:00:00,14.9503,16.4428,25.3949
349454004210,2022-12-15T03:00:00,4.1158,6.1069,12.2579
349454004210,2022-12-15T02:00:00,4.6381,6.6954,13.1324
349454004210,2022-12-15T01:00:00,8.5415,10.3455,17.4794
349454004210,2022-12-15T00:00:00,13.6005,16.2128,25.0153
A848FA93F400,2022-12-15T23:00:00,,,
A848FA93F400,2022-12-15T22:00:00,,,
A848FA93F400,2022-12-15T21:00:00,,,
A848FA93F400,2022-12-15T20:00:00,,,
A848FA93F400,2022-12-15T19:00:00,,,
A848FA93F400,2022-12-15T18:00:00,,,
A848FA93F400,2022-12-15T17:00:00,,,
A848FA93F400,2022-12-15T16:00:00,,,
A848FA93F400,2022-12-15T15:00:00,,,
A848FA93F400,2022-12-15T14:00:00,,,
A848FA93F400,2022-12-15T13:00:00,,,
A848FA93F400,2022-12-15T12:00:00,,,
A848FA93F400,2022-12-15T11:00:00,,,
A848FA93F400,2022-12-15T10:00:00,,,
A848FA93F400,2022-12-15T09:00:00,,,
A848FA93F400,2022-12-15T08:00:00,,,
A848FA93F400,2022-12-15T07:00:00,,,
A848FA93F400,2022-12-15T06:00:00,,,
A848FA93F400,2022-12-15T05:00:00,,,
A848FA93F400,2022-12-15T04:00:00,,,
A848FA93F400,2022-12-15T03:00:00,,,
A848FA93F400,2022-12-15T02:00:00,,,
A848FA93F400,2022-12-15T01:00:00,,,
A848FA93F400,2022-12-15T00:00:00,,,
0CDC7E3DD45C,2022-12-15T23:00:00,74.527,85.4291,110.6801
0CDC7E3DD45C,2022-12-15T22:00:00,85.0783,97.7675,124.8468
0CDC7E3DD45C,2022-12-15T21:00:00,75.3291,86.3568,112.3929
0CDC7E3DD45C,2022-12-15T20:00:00,69.1782,77.7657,102.0501
0CDC7E3DD45C,2022-12-15T19:00:00,56.3954,62.7979,85.8921
0CDC7E3DD45C,2022-12-15T18:00:00,47.246,52.0132,73.3265
0CDC7E3DD45C,2022-12-15T17:00:00,44.6071,49.9435,70.6397
0CDC7E3DD45C,2022-12-15T16:00:00,46.4702,51.9288,73.7494
0CDC7E3DD45C,2022-12-15T15:00:00,43.1067,48.1045,67.4709
0CDC7E3DD45C,2022-12-15T14:00:00,54.6381,61.4944,85.5342
0CDC7E3DD45C,2022-12-15T13:00:00,52.3401,59.3833,82.6402
0CDC7E3DD45C,2022-12-15T12:00:00,39.1708,43.5962,61.4289
0CDC7E3DD45C,2022-12-15T11:00:00,39.8921,44.1508,61.5322
0CDC7E3DD45C,2022-12-15T10:00:00,41.1833,45.2709,63.6023
0CDC7E3DD45C,2022-12-15T09:00:00,45.3303,49.9355,69.7059
0CDC7E3DD45C,2022-12-15T08:00:00,51.2099,58.9287,82.6164
0CDC7E3DD45C,2022-12-15T07:00:00,51.7084,57.8152,82.2794
0CDC7E3DD45C,2022-12-15T06:00:00,53.8097,60.454,82.9804
0CDC7E3DD45C,2022-12-15T05:00:00,33.1206,36.7738,52.0841
0CDC7E3DD45C,2022-12-15T04:00:00,37.0591,41.152,57.6208
0CDC7E3DD45C,2022-12-15T03:00:00,51.4301,58.2139,82.8275
0CDC7E3DD45C,2022-12-15T02:00:00,51.578,58.094,82.8131
0CDC7E3DD45C,2022-12-15T01:00:00,61.3163,71.9304,100.2716
0CDC7E3DD45C,2022-12-15T00:00:00,30.9577,35.2825,51.1944
0CDC7E3DD6EC,2022-12-15T23:00:00,65.4758,72.3086,89.7667
0CDC7E3DD6EC,2022-12-15T22:00:00,70.8235,78.4946,96.6031
0CDC7E3DD6EC,2022-12-15T21:00:00,91.9822,99.7125,121.3814
0CDC7E3DD6EC,2022-12-15T20:00:00,97.3277,104.642,127.3427
0CDC7E3DD6EC,2022-12-15T19:00:00,87.6744,96.6221,117.9141
0CDC7E3DD6EC,2022-12-15T18:00:00,90.5264,100.3248,122.6223
0CDC7E3DD6EC,2022-12-15T17:00:00,80.6338,89.8344,110.6871
0CDC7E3DD6EC,2022-12-15T16:00:00,64.4882,70.8884,89.6835
0CDC7E3DD6EC,2022-12-15T15:00:00,169.6068,201.166,246.7446
0CDC7E3DD6EC,2022-12-15T14:00:00,94.1669,103.3398,125.122
0CDC7E3DD6EC,2022-12-15T13:00:00,42.4989,48.8095,68.3696
