device_id,facility,date,pm1,pm2_5,pm10
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-28,60.6471,68.754,90.6179
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-27,54.0864,60.9657,81.415
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-26,67.6424,75.9376,98.13
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-25,35.9306,41.2051,58.6265
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-24,79.3994,88.6199,112.0614
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-23,79.4589,89.936,115.9023
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-22,82.599,94.1019,121.2203
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-21,57.2543,64.706,86.0276
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-20,27.1372,31.1939,46.5689
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-19,45.2495,52.4833,72.8046
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-18,29.2114,34.4925,51.9862
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-17,21.9417,25.9344,39.2719
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-16,6.9016,8.9914,15.528
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-15,30.942,34.1462,47.5759
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-14,21.6554,24.7205,36.592
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-13,41.1619,48.0589,68.442
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-12,27.0796,31.6519,46.4797
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-11,18.6267,21.6828,32.4822
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-10,4.4036,6.6193,12.8883
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-09,16.6759,19.7267,29.6645
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-08,36.5623,41.4403,57.1475
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-07,23.1879,26.8392,39.1298
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-06,30.754,35.2627,49.5727
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-05,19.792,23.3812,34.8573
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-04,15.1123,17.4312,26.72
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-03,16.9128,20.016,30.5658
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-02,38.579,43.4433,58.7374
349454004300,os-velizar-stankovic-korcagin-krusevac,2022-12-01,14.2769,16.4536,25.695
34945400557C,os-knez-lazar-veliki-kupci,2022-12-31,21.284,24.1955,34.3287
34945400557C,os-knez-lazar-veliki-kupci,2022-12-30,15.0135,17.3309,25.3877
34945400557C,os-knez-lazar-veliki-kupci,2022-12-29,15.7666,18.0298,26.2828
34945400557C,os-knez-lazar-veliki-kupci,2022-12-28,14.9118,16.924,24.8346
34945400557C,os-knez-lazar-veliki-kupci,2022-12-27,14.769,17.1971,25.645
34945400557C,os-knez-lazar-veliki-kupci,2022-12-26,26.6922,30.3167,43.7403
34945400557C,os-knez-lazar-veliki-kupci,2022-12-25,23.1027,26.5885,38.9672
34945400557C,os-knez-lazar-veliki-kupci,2022-12-24,24.7094,28.2051,41.3823
34945400557C,os-knez-lazar-veliki-kupci,2022-12-23,19.1208,22.0584,32.0972
34945400557C,os-knez-lazar-veliki-kupci,2022-12-22,29.7609,34.8747,51.5372
34945400557C,os-knez-lazar-veliki-kupci,2022-12-21,28.3359,34.2695,51.2317
34945400557C,os-knez-lazar-veliki-kupci,2022-12-20,26.1753,31.583,46.3114
34945400557C,os-knez-lazar-veliki-kupci,2022-12-19,24.7812,30.9394,45.2554
34945400557C,os-knez-lazar-veliki-kupci,2022-12-17,2.1362,4.2825,9.7126
34945400557C,os-knez-lazar-veliki-kupci,2022-12-16,1.4315,3.712,8.9215
34945400557C,os-knez-lazar-veliki-kupci,2022-12-15,15.0158,18.2872,27.0654
34945400557C,os-knez-lazar-veliki-kupci,2022-12-14,20.7917,24.2334,34.4594
34945400557C,os-knez-lazar-veliki-kupci,2022-12-13,19.8978,23.8807,34.7845
34945400557C,os-knez-lazar-veliki-kupci,2022-12-12,18.2428,22.5538,33.0092
34945400557C,os-knez-lazar-veliki-kupci,2022-12-11,12.7272,15.819,23.978
34945400557C,os-knez-lazar-veliki-kupci,2022-12-10,-0.0203,2.3623,7.4596
34945400557C,os-knez-lazar-veliki-kupci,2022-12-09,3.0943,5.9177,12.3693
34945400557C,os-knez-lazar-veliki-kupci,2022-12-08,13.2108,16.6475,25.2635
34945400557C,os-knez-lazar-veliki-kupci,2022-12-07,20.2061,24.5809,37.1848
34945400557C,os-knez-lazar-veliki-kupci,2022-12-06,17.8807,21.4549,32.0922
34945400557C,os-knez-lazar-veliki-kupci,2022-12-05,19.8773,23.0737,33.8861
34945400557C,os-knez-lazar-veliki-kupci,2022-12-04,9.266,11.6041,18.6507
34945400557C,os-knez-lazar-veliki-kupci,2022-12-03,21.0542,24.5458,35.1476
349454002FD4,os-sveti-sava-cacak,2022-12-31,137.4209,149.8713,177.3611
349454002FD4,os-sveti-sava-cacak,2022-12-30,124.3526,133.5264,157.9148
349454002FD4,os-sveti-sava-cacak,2022-12-29,121.6912,131.9513,157.2884
349454002FD4,os-sveti-sava-cacak,2022-12-28,78.7082,84.9822,103.8083
349454002FD4,os-sveti-sava-cacak,2022-12-27,102.7048,111.4344,133.494
349454002FD4,os-sveti-sava-cacak,2022-12-26,136.0123,148.0423,175.4827
349454002FD4,os-sveti-sava-cacak,2022-12-25,99.9713,106.9568,128.003
349454002FD4,os-sveti-sava-cacak,2022-12-24,177.0216,192.0543,225.5046
349454002FD4,os-sveti-sava-cacak,2022-12-23,132.6305,145.0537,172.3957
349454002FD4,os-sveti-sava-cacak,2022-12-22,237.2509,275.0039,329.4517
349454002FD4,os-sveti-sava-cacak,2022-12-21,149.6607,171.0692,207.2968
349454002FD4,os-sveti-sava-cacak,2022-12-20,112.9864,129.7248,161.0705
349454002FD4,os-sveti-sava-cacak,2022-12-19,54.6677,62.2181,82.5684
349454002FD4,os-sveti-sava-cacak,2022-12-18,52.0707,59.5512,78.3958
349454002FD4,os-sveti-sava-cacak,2022-12-17,37.7801,41.928,58.0279
349454002FD4,os-sveti-sava-cacak,2022-12-16,26.4156,28.8772,38.9016
349454002FD4,os-sveti-sava-cacak,2022-12-15,62.2412,71.3391,90.9509
349454002FD4,os-sveti-sava-cacak,2022-12-14,50.1093,55.0213,71.6945
349454002FD4,os-sveti-sava-cacak,2022-12-13,56.9142,64.2666,83.072
349454002FD4,os-sveti-sava-cacak,2022-12-12,41.4455,47.4422,65.6285
349454002FD4,os-sveti-sava-cacak,2022-12-11,30.9246,34.5934,48.4935
349454002FD4,os-sveti-sava-cacak,2022-12-10,31.2647,33.628,45.6929
349454002FD4,os-sveti-sava-cacak,2022-12-09,124.8067,133.3488,157.7119
349454002FD4,os-sveti-sava-cacak,2022-12-08,70.9906,77.8372,95.7787
349454002FD4,os-sveti-sava-cacak,2022-12-07,44.6867,48.8412,64.4868
349454002FD4,os-sveti-sava-cacak,2022-12-06,102.8711,111.6366,133.0338
349454002FD4,os-sveti-sava-cacak,2022-12-05,87.5669,94.9692,115.7414
349454002FD4,os-sveti-sava-cacak,2022-12-04,27.8549,30.5513,41.951
349454002FD4,os-sveti-sava-cacak,2022-12-03,97.1084,107.1499,130.1478
349454002FD4,os-sveti-sava-cacak,2022-12-02,81.2406,88.2988,108.2919
349454002FD4,os-sveti-sava-cacak,2022-12-01,27.4691,30.061,42.6737
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-31,138.5102,166.5139,206.1097
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-30,139.9275,164.1812,201.6255
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-29,128.1328,153.2418,190.2934
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-28,84.8492,98.2336,123.1233
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-27,107.5553,124.4328,152.6896
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-26,131.5733,157.6726,195.6724
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-25,72.4482,82.6923,103.9885
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-24,119.2775,136.3249,165.3427
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-23,144.7784,174.7451,215.7098
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-22,171.0876,208.386,256.8438
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-21,136.3876,167.5232,210.9792
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-20,64.2492,77.3316,99.5919
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-19,62.0734,74.1653,97.6708
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-18,31.2374,37.5821,55.0453
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-17,26.9279,31.5562,45.5672
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-16,28.6422,33.071,44.6458
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-15,47.8021,56.7496,74.9842
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-14,39.959,45.75,62.6204
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-13,44.9266,52.3218,71.5325
0CDC7E3D9E28,os-tanasko-rajic-cacak,2022-12-12,27.159,31.9476,46.6779
